Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,GitHub ID,Integration,Owned By,Owned By,Task,Task Status,Task,Task Status,Task,Task Status
134648141,Add Payment,payment,1,"Nov 28, 2016","Dec 4, 2016",feature,0,delivered,"Nov 19, 2016",,,TaoFoo,,https://www.pivotaltracker.com/story/show/134648141,,,TaoFoo,,add payment record to database,completed,create payment database,completed
134650451,Add Item,item,1,"Nov 28, 2016","Dec 4, 2016",feature,3,delivered,"Nov 20, 2016",,,KHAI YIK CHONG,,https://www.pivotaltracker.com/story/show/134650451,,,KHAI YIK CHONG,TaoFoo,get item details,not completed,add into database,not completed
134650419,Add Order,order,1,"Nov 28, 2016","Dec 4, 2016",feature,1,delivered,"Nov 20, 2016",,,Yu,,https://www.pivotaltracker.com/story/show/134650419,,,Yu,TaoFoo,select item,not completed,enter quantity,not completed
134650447,Update Item,item,1,"Nov 28, 2016","Dec 4, 2016",feature,2,started,"Nov 20, 2016",,,KHAI YIK CHONG,,https://www.pivotaltracker.com/story/show/134650447,,,KHAI YIK CHONG,,search for the item,not completed,get new data,not completed,update item in database,not completed
134974915,Login,customer,1,"Nov 28, 2016","Dec 4, 2016",feature,2,started,"Nov 25, 2016",,,KHAI YIK CHONG,,https://www.pivotaltracker.com/story/show/134974915,,,KHAI YIK CHONG,,login activity,not completed,logout,not completed,check identity,not completed
134650433,Cancel Order,order,1,"Nov 28, 2016","Dec 4, 2016",feature,2,started,"Nov 20, 2016",,,Yu,,https://www.pivotaltracker.com/story/show/134650433,,,Yu,KHAI YIK CHONG
134648163,Cancel Payment Record,payment,1,"Nov 28, 2016","Dec 4, 2016",feature,,unstarted,"Nov 19, 2016",,,TaoFoo,,https://www.pivotaltracker.com/story/show/134648163,,,TaoFoo,,cancel payment ,not completed
134648157,Update Payment Record,payment,1,"Nov 28, 2016","Dec 4, 2016",feature,,unstarted,"Nov 19, 2016",,,TaoFoo,,https://www.pivotaltracker.com/story/show/134648157,,,TaoFoo,,update payment record status,not completed
134648147,View Payment Record,payment,1,"Nov 28, 2016","Dec 4, 2016",feature,,unstarted,"Nov 19, 2016",,,TaoFoo,,https://www.pivotaltracker.com/story/show/134648147,,,TaoFoo,,retrieve payment record  from database,not completed,search record based on certain cruteria,not completed
134650445,View Item,item,1,"Nov 28, 2016","Dec 4, 2016",feature,,unstarted,"Nov 20, 2016",,,KHAI YIK CHONG,,https://www.pivotaltracker.com/story/show/134650445,,,KHAI YIK CHONG,,create scrollable table,not completed,retrieve item from databse,not completed
134650443,Delete Item,item,1,"Nov 28, 2016","Dec 4, 2016",feature,,unstarted,"Nov 20, 2016",,,KHAI YIK CHONG,,https://www.pivotaltracker.com/story/show/134650443,,,KHAI YIK CHONG,,search for item in database,not completed,delete item data in databse,not completed
134650431,View Order,order,1,"Nov 28, 2016","Dec 4, 2016",feature,,unstarted,"Nov 20, 2016",,,Yu,,https://www.pivotaltracker.com/story/show/134650431,,,Yu,
134650425,Update Order,order,1,"Nov 28, 2016","Dec 4, 2016",feature,,unstarted,"Nov 20, 2016",,,Yu,,https://www.pivotaltracker.com/story/show/134650425,,,Yu,
